               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045448,            0.065364,            0.016448,             0.71383,             0.64427,             0.71968,             0.47916,             0.04064,             0.03663,           0.0094938,              0.0937,              0.0007,              0.0007
                   1,            0.043837,            0.061764,            0.017234,             0.73662,             0.65189,             0.75078,             0.50055,            0.040091,            0.036043,           0.0086176,            0.086351,           0.0013515,           0.0013515
